Year,Country,Energy_Consumption,Growth_Rate
1990,China,874.0,874.0
1991,China,848.0,848.0
1992,China,877.0,877.0
1993,China,929.0,929.0
1994,China,973.0,973.0
1995,China,1045.0,1045.0
1996,China,1074.0,1074.0
1997,China,1073.0,1073.0
1998,China,1079.0,1079.0
1999,China,1099.0,1099.0
2000,China,1130.0,1130.0
2001,China,1168.0,1168.0
2002,China,1246.0,1246.0
2003,China,1420.0,1420.0
2004,China,1615.0,1615.0
2005,China,1782.0,1782.0
2006,China,1950.0,1950.0
2007,China,2099.0,2099.0
2008,China,2155.0,2155.0
2009,China,2297.0,2297.0
2010,China,2536.0,2536.0
2011,China,2723.0,2723.0
2012,China,2821.0,2821.0
2013,China,2912.0,2912.0
2014,China,2966.0,2966.0
2015,China,2994.0,2994.0
2016,China,2977.0,2977.0
2017,China,3070.0,3070.0
2018,China,3201.0,3201.0
2019,China,3309.0,3309.0
2020,China,3381.0,3381.0
1990,United States,1910.0,1910.0
1991,United States,1925.0,1925.0
1992,United States,1964.0,1964.0
1993,United States,1998.0,1998.0
1994,United States,2036.0,2036.0
1995,United States,2063.0,2063.0
1996,United States,2108.0,2108.0
1997,United States,2130.0,2130.0
1998,United States,2148.0,2148.0
1999,United States,2206.0,2206.0
2000,United States,2269.0,2269.0
2001,United States,2226.0,2226.0
2002,United States,2256.0,2256.0
2003,United States,2262.0,2262.0
2004,United States,2308.0,2308.0
2005,United States,2320.0,2320.0
2006,United States,2298.0,2298.0
2007,United States,2338.0,2338.0
2008,United States,2278.0,2278.0
2009,United States,2165.0,2165.0
2010,United States,2217.0,2217.0
2011,United States,2191.0,2191.0
2012,United States,2152.0,2152.0
2013,United States,2190.0,2190.0
2014,United States,2216.0,2216.0
2015,United States,2192.0,2192.0
2016,United States,2168.0,2168.0
2017,United States,2161.0,2161.0
2018,United States,2236.0,2236.0
2019,United States,2214.0,2214.0
2020,United States,2046.0,2046.0
1990,Brazil,141.0,141.0
1991,Brazil,143.0,143.0
1992,Brazil,145.0,145.0
1993,Brazil,148.0,148.0
1994,Brazil,156.0,156.0
1995,Brazil,162.0,162.0
1996,Brazil,170.0,170.0
1997,Brazil,179.0,179.0
1998,Brazil,183.0,183.0
1999,Brazil,187.0,187.0
2000,Brazil,188.0,188.0
2001,Brazil,191.0,191.0
2002,Brazil,196.0,196.0
2003,Brazil,199.0,199.0
2004,Brazil,211.0,211.0
2005,Brazil,216.0,216.0
2006,Brazil,224.0,224.0
2007,Brazil,236.0,236.0
2008,Brazil,250.0,250.0
2009,Brazil,242.0,242.0
2010,Brazil,267.0,267.0
2011,Brazil,271.0,271.0
2012,Brazil,282.0,282.0
2013,Brazil,294.0,294.0
2014,Brazil,303.0,303.0
2015,Brazil,297.0,297.0
2016,Brazil,287.0,287.0
2017,Brazil,292.0,292.0
2018,Brazil,288.0,288.0
2019,Brazil,293.0,293.0
2020,Brazil,286.0,286.0
1990,Belgium,48.0,48.0
1991,Belgium,50.0,50.0
1992,Belgium,51.0,51.0
1993,Belgium,49.0,49.0
1994,Belgium,52.0,52.0
1995,Belgium,53.0,53.0
1996,Belgium,56.0,56.0
1997,Belgium,56.0,56.0
1998,Belgium,57.0,57.0
1999,Belgium,57.0,57.0
2000,Belgium,58.0,58.0
2001,Belgium,58.0,58.0
2002,Belgium,56.0,56.0
2003,Belgium,58.0,58.0
2004,Belgium,58.0,58.0
2005,Belgium,58.0,58.0
2006,Belgium,57.0,57.0
2007,Belgium,56.0,56.0
2008,Belgium,58.0,58.0
2009,Belgium,56.0,56.0
2010,Belgium,60.0,60.0
2011,Belgium,56.0,56.0
2012,Belgium,53.0,53.0
2013,Belgium,56.0,56.0
2014,Belgium,53.0,53.0
2015,Belgium,52.0,52.0
2016,Belgium,56.0,56.0
2017,Belgium,55.0,55.0
2018,Belgium,53.0,53.0
2019,Belgium,55.0,55.0
2020,Belgium,51.0,51.0
1990,Czechia,50.0,50.0
1991,Czechia,45.0,45.0
1992,Czechia,44.0,44.0
1993,Czechia,43.0,43.0
1994,Czechia,41.0,41.0
1995,Czechia,42.0,42.0
1996,Czechia,43.0,43.0
1997,Czechia,43.0,43.0
1998,Czechia,42.0,42.0
1999,Czechia,39.0,39.0
2000,Czechia,41.0,41.0
2001,Czechia,42.0,42.0
